diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
,,"Para eso se necesitan recursos, para mas aulas y profesores, pero para agravar las cosas, el Estado, en lugar de crear mas universidades, les recorta el ...",educ,24 sep. 2017 -,"La infraestructura, otra limitante de acceso a universidades | Ecuador ...",,infraestructura otra limitante acceso universidades ecuador,para eso necesitan recursos para mas aulas profesores pero para agravar las cosas estado lugar crear mas universidades les recorta,infraestructur limit acces univers,infraestructura limitante acceso universidades,infraestructur otra limit acces univers ecuador,par necesit recurs par mas aul profesor per par agrav cos lug cre mas univers recort,necesitan recursos mas aulas profesores agravar cosas lugar crear mas universidades recorta,par eso necesit recurs par mas aul profesor per par agrav las cos estad lug cre mas univers les recort
El Universo,ecuador_eluniverso_2016_68,"Ecuador coloco un bono a 10 anos por 750 millones de dolares con una demanda que mas que triplico la oferta y con un rendimiento de un 9,65%, que estuvo ...",economi,8 dic. 2016,Ecuador coloca bono a 10 anos por 750 millones de dolares,2016.0,ecuador coloca bono anos por millones dolares,ecuador coloco bono anos por millones dolares con una demanda que mas que triplico oferta con rendimiento que estuvo,coloc bon anos millon dolar,coloca bono anos millones dolares,ecuador coloc bon anos por millon dolar,coloc bon anos millon dolar demand mas triplic ofert rendimient estuv,coloco bono anos millones dolares demanda mas triplico oferta rendimiento,ecuador coloc bon anos por millon dolar con una demand que mas que triplic ofert con rendimient que estuv
El Comercio,ecuador_elcomercio_2015_23,"Las reacciones al comercial de Ecuador que se transmitio ayer, 1 de febrero del 2015, en el Super Bowl no se hicieron esperar. Entre estas reacciones tambien ...",economi,2 Feb. 2015,Criticas nacionales e internacionales a traves de redes sociales al ...,2015.0,criticas nacionales internacionales traves redes sociales,las reacciones comercial ecuador que transmitio ayer febrero del super bowl hicieron esperar entre estas reacciones tambien,critic nacional internacional trav red social,criticas nacionales internacionales traves redes sociales,critic nacional internacional trav red social,reaccion comercial transmiti ayer febrer sup bowl hic esper reaccion tambi,reacciones comercial transmitio ayer febrero super bowl hicieron esperar reacciones tambien,las reaccion comercial ecuador que transmiti ayer febrer del sup bowl hic esper entre estas reaccion tambi
,,"Es una deuda, sin duda. Vidas marcadas. Mi funcion como Gobierno es reparar esa deuda"", dice Augusto Barrera, titular de la Secretaria Nacional de ...",educ,10 jun. 2018 -,Augusto Barrera: 40 mil jovenes no logran ir a universidad | Informes ...,,augusto barrera mil jovenes logran universidad informes,una deuda sin duda vidas marcadas funcion como gobierno reparar esa deuda dice augusto barrera titular secretaria nacional,august barrer mil joven logr univers inform,augusto barrera mil jovenes logran universidad informes,august barrer mil joven logr univers inform,deud dud vid marc funcion com gobiern repar deud dic august barrer titul secretari nacional,deuda duda vidas marcadas funcion gobierno reparar deuda dice augusto barrera titular secretaria nacional,una deud sin dud vid marc funcion com gobiern repar esa deud dic august barrer titul secretari nacional
El Comercio (Ecuador),ecuador_elcomercio_2016_33,... el corazon no solo de su hinchada sino de gran parte de la aficion ecuatoriana que acompanado el camino de los 'negriazules' por el torneo internacional.,sport,26 May. 2016,10 cosas que quizas no sabias sobre Independiente del Valle,2016.0,cosas que quizas sabias sobre independiente del valle,corazon solo hinchada sino gran parte aficion ecuatoriana que acompanado camino los negriazules por torneo internacional,cos quiz sabi sobr independient vall,cosas quizas sabias independiente valle,cos que quiz sabi sobr independient del vall,corazon sol hinch gran part aficion ecuatorian acompan camin negriazul torne internacional,corazon solo hinchada sino gran parte aficion ecuatoriana acompanado camino negriazules torneo internacional,corazon sol hinch sin gran part aficion ecuatorian que acompan camin los negriazul por torne internacional
El Comercio (Ecuador),ecuador_elcomercio_2017_3,Con titulares como 'Desastre en Quito' 'Despedidos del Mundial' 'Mundial solo por TV' y !Decepcion en el Atahualpa! la prensa deportiva ecuatoriana se ...,sport,6 Sep. 2017,La prensa en Ecuador de la 'Decepcion en el Atahualpa' a la ...,2017.0,prensa ecuador decepcion atahualpa,con titulares como desastre quito despedidos del mundial mundial solo por decepcion atahualpa prensa deportiva ecuatoriana,prens decepcion atahualp,prensa decepcion atahualpa,prens ecuador decepcion atahualp,titular com desastr quit desped mundial mundial sol decepcion atahualp prens deport ecuatorian,titulares desastre despedidos mundial mundial solo decepcion atahualpa prensa deportiva ecuatoriana,con titular com desastr quit desped del mundial mundial sol por decepcion atahualp prens deport ecuatorian
El Comercio,ecuador_elcomercio_2015_68,"Entre el 2006 y 2014, la pobreza en Ecuador, medida por el consumo, se redujo del 38,3% al 25,8%, segun informacion difundida la manana de este lunes 13 ...",economi,13 abr. 2015,"Pobreza en Ecuador se redujo al 25,8%",2015.0,pobreza ecuador redujo,entre pobreza ecuador medida por consumo redujo del segun informacion difundida manana este lunes,pobrez reduj,pobreza redujo,pobrez ecuador reduj,pobrez med consum reduj segun informacion difund manan lun,pobreza medida consumo redujo segun informacion difundida manana lunes,entre pobrez ecuador med por consum reduj del segun informacion difund manan este lun
El Universo,,"Si de ingles se trata, los resultados de Ecuador no son tan alentadores. Un estudio de la Escuela de Idiomas Education First (EF) ubica al pais en el puesto 47 ...",educ,22 nov. 2016 -,El ingles se pondra a prueba en los colegios publicos,,ingles pondra prueba los colegios publicos,ingles trata los resultados ecuador son tan alentadores estudio escuela idiomas education first ubica pais puesto,ingles pondr prueb colegi public,ingles pondra prueba colegios publicos,ingles pondr prueb los colegi public,ingles trat result tan alent estudi escuel idiom education first ubic pais puest,ingles trata resultados tan alentadores estudio escuela idiomas education first ubica pais puesto,ingles trat los result ecuador son tan alent estudi escuel idiom education first ubic pais puest
El Universo,,Agrupaciones de salud anuncian movilizaciones por la proforma de 2019. medicos-Red-Profesionales-Salud-14-nov-18-Donoso. Representantes de la Red de ...,health,14 nov. 2018 -,Agrupaciones de salud anuncian movilizaciones por la proforma de ...,,agrupaciones salud anuncian movilizaciones por proforma,agrupaciones salud anuncian movilizaciones por proforma medicos red profesionales salud nov donoso representantes red,agrup salud anunci moviliz proform,agrupaciones salud anuncian movilizaciones proforma,agrup salud anunci moviliz por proform,agrup salud anunci moviliz proform medic red profesional salud nov donos represent red,agrupaciones salud anuncian movilizaciones proforma medicos red profesionales salud nov donoso representantes red,agrup salud anunci moviliz por proform medic red profesional salud nov donos represent red
El Universo,,"Seis anos despues de que arranco la obra, en el gobierno anterior, el centro de Salud tipo C Ciudad Victoria fue inaugurado este ...",health,9 oct. 2018 -,Lenin Moreno inauguro centro de salud 'Ciudad Victoria' en Guayaquil ...,,lenin moreno inauguro centro salud ciudad victoria guayaquil,seis anos despues que arranco obra gobierno anterior centro salud tipo ciudad victoria fue inaugurado este,moren inaugur centr salud ciud victori,inauguro centro salud ciudad victoria,lenin moren inaugur centr salud ciud victori guayaquil,seis anos despu arranc obra gobiern anterior centr salud tip ciud victori inaugur,seis anos despues arranco obra gobierno anterior centro salud tipo ciudad victoria inaugurado,seis anos despu que arranc obra gobiern anterior centr salud tip ciud victori fue inaugur este
El Universo,ecuador_eluniverso_2017_41,"Ecuador presento ayer ante el Consejo de Derechos Humanos de la Organizacion de Naciones Unidas (ONU) sus datos de una menor pobreza: de 27,2% en ...",polit,1 May. 2017,"Ecuador, muy observado en ONU",2017.0,ecuador muy observado onu,ecuador presento ayer ante consejo derechos humanos organizacion naciones unidas onu sus datos una menor pobreza,observ onu,observado onu,ecuador muy observ onu,present ayer consej derech human organizacion nacion unid onu dat menor pobrez,presento ayer consejo derechos humanos organizacion naciones unidas onu datos menor pobreza,ecuador present ayer ante consej derech human organizacion nacion unid onu sus dat una menor pobrez
El Universo,ecuador_eluniverso_2017_85,La seleccion Sub-20 de Ecuador cayo este jueves 2-1 ante Arabia Saudi en Incheon en la segunda fecha de la llave F del Mundial de Corea del Sur con lo que ...,sport,25 May. 2017,Ecuador Sub-20 perdio hoy ante Arabia Saudi 2-1,2017.0,ecuador sub perdio hoy ante arabia saudi,seleccion sub ecuador cayo este jueves ante arabia saudi incheon segunda fecha llave del mundial corea del sur con que,sub perdi hoy arabi saudi,sub perdio hoy arabia saudi,ecuador sub perdi hoy ante arabi saudi,seleccion sub cay juev arabi saudi incheon segund fech llav mundial core sur,seleccion sub cayo jueves arabia saudi incheon segunda fecha llave mundial corea sur,seleccion sub ecuador cay este juev ante arabi saudi incheon segund fech llav del mundial core del sur con que
El Comercio (Ecuador),ecuador_elcomercio_2016_64,"El presidente de Ecuador, Rafael Correa, dijo el 2 de agosto que la petrolera estadounidense Chevron boicoteo una emision de bonos colocados la pasada ...",polit,4 ago. 2016,El presidente Rafael Correa dice que Chevron boicoteo emision de ...,2016.0,presidente rafael correa dice que chevron boicoteo emision,presidente ecuador rafael correa dijo agosto que petrolera estadounidense chevron boicoteo una emision bonos colocados pasada,president corre dic chevron boicote emision,presidente dice chevron boicoteo emision,president rafael corre dic que chevron boicote emision,president corre dij agost petroler estadounidens chevron boicote emision bon coloc pas,presidente dijo agosto petrolera estadounidense chevron boicoteo emision bonos colocados pasada,president ecuador rafael corre dij agost que petroler estadounidens chevron boicote una emision bon coloc pas
El Comercio (Ecuador),ecuador_elcomercio_2016_15,"Lenin Moreno, de Alianza Pais; Guillermo Lasso, de Creo; Cynthia Viteri, del Partido Social Cristiano; Paco Moncayo, de la Izquierda Democratica; Patricio ...",polit,17 dic. 2016,Siete candidatos a la Presidencia de Ecuador condenaron la violencia ...,2016.0,siete candidatos presidencia ecuador condenaron violencia,lenin moreno alianza pais guillermo lasso creo cynthia viteri del partido social cristiano paco moncayo izquierda democratica patricio,siet candidat president conden violenci,siete candidatos presidencia condenaron violencia,siet candidat president ecuador conden violenci,moren alianz pais guillerm lass cre cynthi viteri part social cristian pac moncay izquierd democrat patrici,alianza pais guillermo lasso creo cynthia viteri partido social cristiano paco moncayo izquierda democratica patricio,lenin moren alianz pais guillerm lass cre cynthi viteri del part social cristian pac moncay izquierd democrat patrici
El Universo,,"El Ministerio de Educacion, mediante el Acuerdo 034-A, determino que el uso de la falda para las estudiantes sea opcional y no obligatorio para asistir a clases ...",educ,6 abr. 2018 -,Acuerdo ministerial determina que el uso de faldas en escuelas y ...,,acuerdo ministerial determina que uso faldas escuelas,ministerio educacion mediante acuerdo determino que uso falda para las estudiantes sea opcional obligatorio para asistir clases,acuerd ministerial determin uso fald escuel,acuerdo ministerial determina uso faldas escuelas,acuerd ministerial determin que uso fald escuel,ministeri educacion mediant acuerd determin uso fald par estudi opcional obligatori par asist clas,ministerio educacion mediante acuerdo determino uso falda estudiantes opcional obligatorio asistir clases,ministeri educacion mediant acuerd determin que uso fald par las estudi sea opcional obligatori par asist clas
El Universo,,"La falta de proteina en la dieta de un padre afecta la calidad del esperma, lo que puede tener un impacto directo en la salud a largo plazo de su descendencia, ...",health,18 oct. 2018 -,La falta de proteina en la dieta de los hombres podria afectar a la ...,,falta proteina dieta los hombres podria afectar,falta proteina dieta padre afecta calidad del esperma que puede tener impacto directo salud largo plazo descendencia,falt protein diet hombr podri afect,falta proteina dieta hombres podria afectar,falt protein diet los hombr podri afect,falt protein diet padr afect calid esperm pued ten impact direct salud larg plaz descendent,falta proteina dieta padre afecta calidad esperma puede tener impacto directo salud largo plazo descendencia,falt protein diet padr afect calid del esperm que pued ten impact direct salud larg plaz descendent
El Comercio (Ecuador),ecuador_elcomercio_2017_59,"Kaplan concluyo entonces que la decision judicial en Ecuador se obtuvo ""por ... y fraude, para obtener en Ecuador el fallo contra la petrolera estadounidense.",polit,19 Jun. 2017,El Supremo de EE.UU. rechaza recurso de ecuatorianos y da victoria ...,2017.0,supremo rechaza recurso ecuatorianos victoria,kaplan concluyo entonces que decision judicial ecuador obtuvo por fraude para obtener ecuador fallo contra petrolera estadounidense,suprem rechaz recurs ecuatorian victori,supremo rechaza recurso ecuatorianos victoria,suprem rechaz recurs ecuatorian victori,kapl conclu entonc decision judicial obtuv fraud par obten fall contr petroler estadounidens,kaplan concluyo entonces decision judicial obtuvo fraude obtener fallo petrolera estadounidense,kapl conclu entonc que decision judicial ecuador obtuv por fraud par obten ecuador fall contr petroler estadounidens
El Universo,,El rubro destinado a la salud forma parte primaria de los presupuestos familiares en la mayoria de los ecuatorianos. Muchos lo hacen con un sistema de pago ...,health,25 abr. 2017 -,"Seguros de salud, una forma de ahorro familiar en caso de ...",,seguros salud una forma ahorro familiar caso,rubro destinado salud forma parte primaria los presupuestos familiares mayoria los ecuatorianos muchos hacen con sistema pago,segur salud form ahorr famili cas,seguros salud forma ahorro familiar caso,segur salud una form ahorr famili cas,rubr destin salud form part primari presupuest familiar mayori ecuatorian much hac sistem pag,rubro destinado salud forma parte primaria presupuestos familiares mayoria ecuatorianos hacen sistema pago,rubr destin salud form part primari los presupuest familiar mayori los ecuatorian much hac con sistem pag
El Universo,ecuador_eluniverso_20190815,"Un grupo de personas retuvo y entrego a la Policia a un presunto delincuente en las calles Junin y Pichincha, luego de que fuera acusado de robo...",crime,15 ag. 2019,Presunto antisocial detenido por habitantes,2019.0,presunto antisocial detenido por habitantes,grupo personas retuvo entrego policia presunto delincuente las calles junin pichincha luego que fuera acusado robo,presunt antisocial deten habit,presunto antisocial detenido habitantes,presunt antisocial deten por habit,grup person retuv entreg polici presunt delincuent call junin pichinch lueg fuer acus rob,grupo personas retuvo entrego policia presunto delincuente calles junin pichincha luego acusado robo,grup person retuv entreg polici presunt delincuent las call junin pichinch lueg que fuer acus rob
El Comercio,ecuador_elcomercio_2015_9,En una historica fecha para el futbol ecuatoriano la Seleccion de Ecuador gano 2-0 al conjunto argentino en el estadio Monumental Antonio Vespucio Liberti ...,sport,9 Oct. 2015,!Monumental victoria 2-0 de la Tricolor en Buenos Aires!,2015.0,monumental victoria tricolor buenos aires,una historica fecha para futbol ecuatoriano seleccion ecuador gano conjunto argentino estadio monumental antonio vespucio liberti,monumental victori tricolor buen air,monumental victoria tricolor buenos aires,monumental victori tricolor buen air,histor fech par futbol ecuatorian seleccion gan conjunt argentin estadi monumental antoni vespuci liberti,historica fecha futbol ecuatoriano seleccion gano conjunto argentino estadio monumental antonio vespucio liberti,una histor fech par futbol ecuatorian seleccion ecuador gan conjunt argentin estadi monumental antoni vespuci liberti
,,"Un enfrentamiento con piedras y palos se registro este jueves en la Universidad de Guayaquil, luego de que partidarios de la rectora por subrogacion, Gulnara ...",educ,11 oct. 2018 -,Nuevos disturbios en Universidad de Guayaquil | Comunidad ...,,nuevos disturbios universidad guayaquil comunidad,enfrentamiento con piedras palos registro este jueves universidad guayaquil luego que partidarios rectora por subrogacion gulnara,nuev disturbi univers comun,nuevos disturbios universidad comunidad,nuev disturbi univers guayaquil comun,enfrent piedr pal registr juev univers lueg partidari rector subrogacion guln,enfrentamiento piedras palos registro jueves universidad luego partidarios rectora subrogacion gulnara,enfrent con piedr pal registr este juev univers guayaquil lueg que partidari rector por subrogacion guln
El Comercio,ecuador_elcomercio_2015_41,"En el parque El Arbolito, en el centro norte de Quito, se realizo la 'Asamblea Popular', que reunio a diversos movimientos sociales. Se escucho por dos horas y ...",polit,21 ago. 2015,Dos horas y 40 minutos duro la 'Asamblea Popular',2015.0,dos horas minutos duro asamblea popular,parque arbolito centro norte quito realizo asamblea popular que reunio diversos movimientos sociales escucho por dos horas,dos hor minut dur asamble popul,dos horas minutos duro asamblea popular,dos hor minut dur asamble popul,parqu arbolit centr nort quit realiz asamble popul reuni divers movimient social escuch dos hor,parque arbolito centro norte realizo asamblea popular reunio diversos movimientos sociales escucho dos horas,parqu arbolit centr nort quit realiz asamble popul que reuni divers movimient social escuch por dos hor
La Hora (Ecuador),ecuador_lahora_2018_24,Riesgo Pais aumenta en Ecuador tras cambio en el Ministerio de Finanzas ... los mismos mercados internacionales castiguen a Ecuador y las condiciones de ...,economi,7 Mar. 2018,Riesgo Pais aumenta en Ecuador tras cambio en el Ministerio de ...,2018.0,riesgo pais aumenta ecuador tras cambio ministerio,riesgo pais aumenta ecuador tras cambio ministerio finanzas los mismos mercados internacionales castiguen ecuador las condiciones,riesg pais aument tras cambi ministeri,riesgo pais aumenta tras cambio ministerio,riesg pais aument ecuador tras cambi ministeri,riesg pais aument tras cambi ministeri finanz mism merc internacional castig condicion,riesgo pais aumenta tras cambio ministerio finanzas mismos mercados internacionales castiguen condiciones,riesg pais aument ecuador tras cambi ministeri finanz los mism merc internacional castig ecuador las condicion
El Comercio (Ecuador),ecuador_elcomercio_2018_16,"Guacho' era uno de los criminales mas buscados en Colombia y Ecuador al ser ... equipo de prensa de EL COMERCIO (abril de 2018), el secuestro y posterior ...",crime,21 dic. 2018,Presidente de Colombia anuncia que alias 'Guacho' ha sido abatido,2018.0,presidente colombia anuncia que alias guacho sido abatido,guacho era uno los criminales mas buscados colombia ecuador ser equipo prensa comercio abril secuestro posterior,president colombi anunci ali guach sid abat,presidente colombia anuncia alias guacho sido abatido,president colombi anunci que ali guach sid abat,guach criminal mas busc colombi ser equip prens comerci abril secuestr posterior,guacho criminales mas buscados colombia ser equipo prensa comercio abril secuestro posterior,guach era uno los criminal mas busc colombi ecuador ser equip prens comerci abril secuestr posterior
El Universo,ecuador_eluniverso_2017_74,Los nombres de los 23 futbolistas que defenderan a Ecuador en el Sudamericano Sub-20 quedaron desvelados ayer por el DT Javier Rodriguez en una ...,sport,3 ene. 2017,Seleccion Sub-20 de Ecuador definida para Sudamericano,2017.0,seleccion sub ecuador definida para sudamericano,los nombres los futbolistas que defenderan ecuador sudamericano sub quedaron desvelados ayer por javier rodriguez una,seleccion sub defin par sudamerican,seleccion sub definida sudamericano,seleccion sub ecuador defin par sudamerican,nombr futbol defender sudamerican sub qued desvel ayer javi rodriguez,nombres futbolistas defenderan sudamericano sub quedaron desvelados ayer javier rodriguez,los nombr los futbol que defender ecuador sudamerican sub qued desvel ayer por javi rodriguez una
La Hora (Ecuador),ecuador_lahora_2016_27,Independiente del Valle actual finalista de America jugara como local frente a River Ecuador buscando sellar su clasificacion al torneo de clubes mas ...,sport,9 dic. 2016,Delfin saldra con todo ante Emelec,2016.0,delfin saldra con todo ante emelec,independiente del valle actual finalista america jugara como local frente river ecuador buscando sellar clasificacion torneo clubes mas,delfin saldr tod emelec,delfin saldra emelec,delfin saldr con tod ante emelec,independient vall actual final amer jug com local frent riv busc sell clasificacion torne club mas,independiente valle actual finalista america jugara local frente river buscando sellar clasificacion torneo clubes mas,independient del vall actual final amer jug com local frent riv ecuador busc sell clasificacion torne club mas
El Universo,,"Como conocemos la salud es el estado de bienestar optimo, fisico, mental, emocional y social de las personas.",health,14 sep. 2016 -,La salud en el ser humano,,salud ser humano,como conocemos salud estado bienestar optimo fisico mental emocional social las personas,salud ser human,salud ser humano,salud ser human,com conoc salud bienest optim fisic mental emocional social person,conocemos salud bienestar optimo fisico mental emocional social personas,com conoc salud estad bienest optim fisic mental emocional social las person
La Hora (Ecuador),ecuador_lahora_2018_82,Para la atencion que se ofrecera de forma conjunta con el Gobierno de Ecuador se instalaran dos puestos para recibir al publico en las instalaciones de la ...,health,10 Oct. 2018,Buque hospital de EE.UU. ofrecera atencion medica durante 5 dias en ...,2018.0,buque hospital ofrecera atencion medica durante dias,para atencion que ofrecera forma conjunta con gobierno ecuador instalaran dos puestos para recibir publico las instalaciones,buqu hospital ofrecer atencion medic durant dias,buque hospital ofrecera atencion medica dias,buqu hospital ofrecer atencion medic durant dias,par atencion ofrecer form conjunt gobiern instal dos puest par recib public instal,atencion ofrecera forma conjunta gobierno instalaran dos puestos recibir publico instalaciones,par atencion que ofrecer form conjunt con gobiern ecuador instal dos puest par recib public las instal
