diario|id_news|snippet|svm_prediction|time|title|year
El Comercio|ecuador_elcomercio_2015_42|El presidente de Ecuador, Rafael Correa, aseguró hoy 11 de diciembre del 2015 que el Estado tiene la financiación suficiente para cubrir un primer pago a la ...|economi|11 dic. 2015|Primer pago de Ecuador a la Oxy estaría financiado|2015.0
El Comercio|ecuador_elcomercio_2015_39|Ecuador aparece entre los países que tienen la mayor tasa de Impuesto a la Herencia en el mundo. El Gobierno anunció que remitirá en los próximos días una ...|economi|3 Jun. 2015|Ecuador se posiciona en el ranking tributario|2015.0
El Comercio|ecuador_elcomercio_2015_61|El presidente Rafael Correa desató como pocas veces la molestia del sector empresarial en Ecuador con un proyecto para elevar los impuestos a las herencias ...|economi|7 Jun. 2015|Rafael Correa desata ira empresarial en Ecuador con plan de ...|2015.0
El Comercio|ecuador_elcomercio_2015_63|La inflación en mayo de 2015 se ubicó en 0,18% según el último reporte de inflación del Instituto Nacional de Estadística y Censos (INEC). Hasta mayo pasado ...|economi|4 Jun. 2015|La inflación anual en Ecuador llega al 4,55%|2015.0
El Comercio|ecuador_elcomercio_2015_68|Entre el 2006 y 2014, la pobreza en Ecuador, medida por el consumo, se redujo del 38,3% al 25,8%, según información difundida la mañana de este lunes 13 ...|economi|13 abr. 2015|Pobreza en Ecuador se redujo al 25,8%|2015.0
El Comercio|ecuador_elcomercio_2015_78|Aulestia mencionó que la depreciación de peso colombiano implica que para ellos es más costoso comprar en Ecuador, pero más barato venderle. “Es por eso ...|economi|18 ago. 2015|Tulcán fue declarada zona deprimida por la baja del comercio|2015.0
El Comercio|ecuador_elcomercio_2015_81|"Ecuador mantendrá el dolar como moneda, pese a la difícil situación ... su comercio, anunció este martes, 25 de agosto, el presidente Rafael Correa. ""Hemos ..."|economi|25 ago. 2015|Ecuador seguirá dolarizado pese a difícil situación económica, dice ...|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_2|El Gobierno Nacional estableció cinco medidas económicas para enfrentar los costos del terremoto ocurrido el pasado sábado y que hasta ayer hasta dejaba ...|economi|20 abr. 2016|Gobierno anuncia 5 medidas económicas por el terremoto|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_29|Un mes después del terremoto que devastó la costa ecuatoriana, en Pedernales, epicentro del sismo, un 60% del comercio se ha reactivado en medio de la ...|economi|16 May. 2016|Se reactivó 60% del comercio en Pedernales, epicentro del terremoto|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_43|En el mercado de Nueva York, el petróleo West Texas Intermediate (WTI), de referencia para Ecuador, cerró el 7 de marzo del 2016 en USD 37,90 por barril, ...|economi|22 ene. 2016|¿Ecuador está preparado para un petróleo a un precio de USD 20?|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_58|El acuerdo comercial negociado entre Ecuador y la Unión Europea (UE) será ... el jueves el ministro ecuatoriano de Comercio Exterior, Juan Carlos Cassinelli.|economi|27 Oct. 2016|Ecuador y Unión Europea firmarán acuerdo comercial el 11 de ...|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_71|Allí el Ministro se reunirá con John Melle, representante de Comercio de los EE. ... Para el analista económico Jorge Acaiturri, a Ecuador le urge no solo ...|economi|10 Jul. 2016|Juan Carlos Cassinelli inicia gira comercial por 3 países|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_78|Ecuador consiguió de la Unión Europea (UE) la exclusión de un grupo de ... El ministro de Comercio Exterior, Juan Carlos Cassinelli, explicó que en el acuerdo ...|economi|8 Nov. 2016|El acuerdo con la Unión Europea excluye 91 productos agrícolas ...|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_81|El Ministerio de Finanzas colocó hoy 25 de julio del 2016 USD 1 000 millones en bonos soberanos en el mercado de capitales internacionales, informó la ...|economi|26 Jul. 2016|Ecuador colocó USD 1 000 millones en bonos soberanos en mercado ...|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2016_97|La minera canadiense Lundin Gold anunció el 5 de agosto que concluyó la negociación de un contrato de inversión con Ecuador para explotar un yacimiento ...|economi|5 ago. 2016|Lundin Gold concluye acuerdo de inversión para extraer oro en Ecuador|2016.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_44|La empresa mexicana de telefonía América Móvil anunció hoy (26 de septiembre del 2017) en Quito planes de inversión en Ecuador por unos USD 450 ...|economi|26 Sep. 2017|América Móvil prevé inversiones por USD 450 millones en Ecuador ...|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_51|El presidente electo de Ecuador, Lenín Moreno, prometió a representantes de la Asociación de Bancos Privados (ABPE) del país que mantendrá la dolarización ...|economi|18 May. 2017|Lenín Moreno promete a bancos mantener dolarización en Ecuador|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_53|"Werner aseguró que la cita fue ""muy provechosa"" y sirvió para entender los planes económicos que se implementan en Ecuador y que permiten comprender ..."|economi|29 Nov. 2017|FMI 'sorprendido' por crecimiento mayor al pronosticado para Ecuador ...|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_63|El Ministerio de Comercio Exterior comunicó a las embajadas de 17 países con los que Ecuador ha denunciado los tratados bilaterales de inversión (TBI), ...|economi|5 May. 2017|Ecuador quiere renegociar 17 acuerdos de inversión|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_74|A 10 días de haber empezado el 2017, Ecuador salió nuevamente al mercado internacional de capitales en busca de financiamiento. El Ministerio de Finanzas ...|economi|11 ene. 2017|Dos emisiones de bonos en menos de un mes|2017.0
El Comercio|ecuador_elcomercio_2018_80|"Japón firma acuerdo de ayuda financiera con Ecuador de USD 70 millones ... materia de comercio y de inversiones"", según consta en la declaración conjunta."|economi|5 Sep. 2018|Japón firma acuerdo de ayuda financiera con Ecuador de USD 70 ...|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_81|El presidente Lenín Moreno presentó este lunes 2 de abril del 2018, las líneas generales de su plan económico. El documento incluye 14 medidas que se ...|economi|2 abr. 2018|Cuatro ejes y 14 medidas abarca el plan económico de Lenín Moreno|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_84|Con un crédito de USD 900 millones del Banco de Desarrollo de China (CDB por sus siglas en inglés), el Gobierno volvió a incluir al dragón asiático entre sus ...|economi|12 dic. 2018|Ecuador vuelve a financiarse con China luego de once meses|2018.0
El Comercio|ecuador_elcomercio_2018_103|Entre los comerciantes estaban Omira Palacios y José Martínez, quienes decidieron emigrar al Ecuador por la devastadora crisis económica que azota al país ...|economi|16 Sep. 2018|8 617 venezolanos laboran en el sector privado de Ecuador de ...|2018.0
El Universo|ecuador_eluniverso_2015_36|Ecuador logró sortear la baja cotización del petróleo, su principal producto de exportación, y confía en que el precio seguirá recuperándose tras el alza de los ...|economi|13 May. 2015|Ecuador está preparado para caída de barril de petróleo de hasta ...|2015.0
El Universo|ecuador_eluniverso_2015_48|El funcionario destacó que el salario de Ecuador es el segundo más alto en América del Sur, luego de Argentina y el primero de la Comunidad Andina de ...|economi|21 dic. 2015|Salario subió 3,39%, el menor porcentaje en últimos 10 años|2015.0
El Universo|ecuador_eluniverso_2015_60|El ingreso por turismo a Ecuador reportó en 2014 un total de 1.487,2 millones de dólares y la meta para este año se ha marcado en 1.734,5 millones de dólares ...|economi|9 abr. 2015|Turismo dejó $ 1.487 millones en ingresos a Ecuador en 2014|2015.0
El Universo|ecuador_eluniverso_2015_85|Ecuador colocó $ 750 millones de un bono con vencimiento en el 2020 y rendimiento del 8,5% a cinco años plazo. En marzo pasado hizo la primera venta por ...|economi|14 May. 2015|Nueva emisión de bonos hace Ecuador|2015.0
El Universo|ecuador_eluniverso_2015_138|Corea del Sur anunció este miércoles que iniciará próximamente las negociaciones para sellar acuerdos comerciales con Ecuador y con el bloque ...|economi|29 abr. 2015|Corea del Sur negociará acuerdos comerciales con Ecuador y ...|2015.0
El Universo|ecuador_eluniverso_2016_17|El jefe de la misión del Fondo Monetario Internacional (FMI) para Ecuador, Luca Ricci, anunció este viernes que el Directorio del FMI aprobó un crédito sin ...|economi|8 Jul. 2016|FMI aprobó crédito por $ 364 millones para Ecuador|2016.0
El Universo|ecuador_eluniverso_2016_19|Ecuador y Turquía suscribieron acuerdos económicos, comerciales y de cooperación durante la visita oficial del presidente de Turquía Recep Tayyip Erdogan a ...|economi|4 Feb. 2016|Ecuador y Turquía buscan incrementar intercambio comercial|2016.0
El Universo|ecuador_eluniverso_2016_35|(Actualizado a las 21:10, jueves 7 de abril, 2016). Opositores y simpatizantes del Gobierno salieron el a las calles este jueves para expresar rechazo y apoyo al ...|economi|7 abr. 2016|Proyecto que crea nuevos impuestos en Ecuador mueve a opositores ...|2016.0
El Universo|ecuador_eluniverso_2016_39|La exportación de banano hacia la Unión Europea es uno de los capítulos con tratamiento especial en el Acuerdo Multipartes. Aunque el régimen arancelario ...|economi|15 dic. 2016|Ecuador exportará banano sin limitaciones desde el 2020|2016.0
El Universo|ecuador_eluniverso_2016_49|El Banco Mundial (BM) y el gobierno de Ecuador formalizaron este viernes un préstamo por 150 millones de dólares para ayudar a ese país en la ...|economi|22 abr. 2016|Banco Mundial oficializa préstamo a Ecuador por 150 millones de ...|2016.0
El Universo|ecuador_eluniverso_2016_68|Ecuador colocó un bono a 10 años por 750 millones de dólares con una demanda que más que triplicó la oferta y con un rendimiento de un 9,65%, que estuvo ...|economi|8 dic. 2016|Ecuador coloca bono a 10 años por 750 millones de dólares|2016.0
El Universo|ecuador_eluniverso_2016_64|Desde este 1 de junio entra en vigencia en Ecuador la Ley de Solidaridad y de Corresponsabilidad Ciudadana en beneficio de las zonas afectadas por el ...|economi|1 Jun. 2016|¿Qué reforma económica rige en Ecuador desde este 1 de junio?|2016.0
El Universo|ecuador_eluniverso_2016_82|Actualizado a las 23:18. Ecuador recibirá un crédito de 970 millones de dólares por parte de un banco de China, los cuales son de libre disponibilidad, informó ...|economi|22 ene. 2016|Ecuador recibirá crédito chino de $970 millones|2016.0
El Universo|ecuador_eluniverso_2016_104|La inflación mensual de Ecuador aumentó de 0,03% en mayo a 0,36% en junio, mientras que el acumulado en el primer semestre de 2016 pasó a 1,29%, ...|economi|6 Jul. 2016|Inflación de Ecuador aumentó 0,36% en junio, según INEC|2016.0
El Universo|ecuador_eluniverso_2016_106|En octubre arrancará la primera ronda de negociaciones para la firma de un acuerdo comercial entre Ecuador y la Asociación Europea de Libre Comercio (más ...|economi|30 Jun. 2016|Ecuador iniciará conversaciones para acuerdo comercial con Islandia ...|2016.0
El Universo|ecuador_eluniverso_2017_42|Lenín Moreno descarta 'paquetazo' ante actual crisis económica en Ecuador ... asegura Lenín Moreno al presentar el diagnóstico de la economía de Ecuador.|economi|1 ago. 2017|Lenín Moreno descarta 'paquetazo' ante actual crisis económica en ...|2017.0
El Universo|ecuador_eluniverso_2017_44|Ecuador registró un decrecimiento (“crecimiento negativo”) en la economía que se ubicó en 1,5% en el 2016. Es decir, el producto interno bruto (PIB) se redujo ...|economi|10 abr. 2017|Decrecimiento' económico de 1,5% se registró en 2016|2017.0
El Universo|ecuador_eluniverso_2017_53|El ministro de Comercio Exterior, Juan Carlos Cassinelli, comunicó a las embajadas de Ecuador de 17 países la intención del país de renegociar los Tratados ...|economi|5 May. 2017|Ecuador notifica que quiere renegociar 17 TBI|2017.0
El Universo|ecuador_eluniverso_2017_54|Al recordar que el régimen anterior no dejó una economía con “la mesa servida”, sumado a un panorama de caída de exportaciones, bajo precio del petróleo, ...|economi|12 Oct. 2017|Plan económico de Lenín Moreno para Ecuador se sustenta en ...|2017.0
El Universo|ecuador_eluniverso_2017_56|No se ha previsto ningún financiamiento con el Fondo Monetario Internacional (FMI), dijo este miércoles el ministro de Economía y Finanzas, Carlos de la Torre, ...|economi|29 Nov. 2017|Ecuador no ha previsto financiamiento del FMI, dice ministro Carlos ...|2017.0
El Universo|ecuador_eluniverso_2017_86|Ecuador registró una inflación anual de 1,12% en el 2016 frente al 3,38% del 2015, según el reporte del Instituto Nacional de Estadística y Censos (INEC).|economi|6 ene. 2017|Ecuador cierra 2016 con una inflación anual de 1,12%|2017.0
El Universo|ecuador_eluniverso_2017_91|La inversión en oro que realizó esta semana el Banco Central del Ecuador (BCE) en Goldman Sachs (por 300.000 onzas de oro, equivalentes a $ 387 millones) ...|economi|20 Oct. 2017|Otro crédito llega vía bonos y oro al Banco Central del Ecuador|2017.0
El Universo|ecuador_eluniverso_2018_81|Ecuador buscará una renegociación de la deuda que mantiene con China y no descarta pedir financiamiento del Fondo Monetario Internacional, como parte de ...|economi|6 dic. 2018|Ecuador renegociará su deuda con China, pero no descarta acudir al ...|2018.0
La Hora (Ecuador)|ecuador_lahora_2016_2|Ecuador recibió el respaldo de Francia para la firma del acuerdo comercial con la Unión Europea (UE) este año durante una reunión que mantuvieron en París ...|economi|15 Sep. 2016|Francia respalda acuerdo comercial entre Ecuador y la UE|2016.0
La Hora (Ecuador)|ecuador_lahora_2017_14|Con el carácter de urgente en materia económica, el Ejecutivo remitió a la Asamblea la Ley Orgánica para Impulsar la Reactivación Económica del Ecuador.|economi|1 Nov. 2017|Presupuesto para 2018 presenta un déficit de 4.102 millones|2017.0
La Hora (Ecuador)|ecuador_lahora_2018_24|Riesgo País aumenta en Ecuador tras cambio en el Ministerio de Finanzas ... los mismos mercados internacionales castiguen a Ecuador y las condiciones de ...|economi|7 Mar. 2018|Riesgo País aumenta en Ecuador tras cambio en el Ministerio de ...|2018.0
La Hora (Ecuador)|ecuador_lahora_2018_26|El primer ministro nipón, Shinzo Abe, firmó hoy un acuerdo de ayuda financiera reembolsable con el presidente de Ecuador, Lenín Moreno, por valor de 70 ...|economi|5 Sep. 2018|Japón firma acuerdo de ayuda financiera con Ecuador de 70 millones ...|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_71|Un equipo del Fondo Monetario Internacional (FMI) permanecerá en Quito por unas dos semanas, para llevar a cabo la revisión anual de las cifras económicas ...|economi|19 Jun. 2018|Misión del FMI se quedará en Ecuador hasta julio del 2018|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_3|El ministro ecuatoriano de Comercio Exterior, Pablo Campana, informó hoy, 23 de julio del 2018, en el marco del V Encuentro de la Alianza del Pacífico que ...|economi|23 Jul. 2018|Ecuador expresó formalmente su decisión de convertirse en país ...|2018.0
El Universo|ecuador_eluniverso_2017_88|El Banco de Desarrollo de América Latina-CAF aprobó dos préstamos para Ecuador por un monto de $ 292 millones, para modernizar la red de carreteras e ...|economi|5 dic. 2017|La CAF aprueba 2 préstamos a Ecuador|2017.0
El Universo|ecuador_eluniverso_2018_87|El ministro de Comercio Exterior, Pablo Campana, señaló que Ecuador busca formar parte de la Alianza del Pacífico y que, en el segundo semestre de este año ...|economi|30 May. 2018|Ecuador apunta a Alianza del Pacífico ya inversionistas|2018.0
El Comercio|ecuador_elcomercio_2015_23|Las reacciones al comercial de Ecuador que se transmitió ayer, 1 de febrero del 2015, en el Super Bowl no se hicieron esperar. Entre estas reacciones también ...|economi|2 Feb. 2015|Críticas nacionales e internacionales a través de redes sociales al ...|2015.0
El Comercio|ecuador_elcomercio_2015_46|Espinosa explicó que en 2013 Ecuador y Bielorrusia acordaron crear una ... varios instrumentos en materia de ciencia y tecnología, comercio exterior, minería, ...|economi|11 Feb. 2015|Ecuador y Bielorrusia impulsan cooperación para un desarrollo ...|2015.0
El Comercio (Ecuador)|ecuador_elcomercio_2017_66|“A corto y mediano plazos es una utopía salir de la dolarización. Lo que sí se podría hacer es una moneda regional, pero eso será cosa de décadas”, dijo el ...|economi|17 ene. 2017|Rafael Correa: 'a corto y mediano plazo es una utopía salir de la ...|2017.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_22|Una delegación gremial ecuatoriana participará el lunes 23 de julio del 2018 en el V Encuentro Empresarial de la Alianza del Pacífico, que se realiza en Puerto ...|economi|20 Jul. 2018|Ecuador estará en el V Encuentro Empresarial de la Alianza del Pacífico|2018.0
El Comercio|ecuador_elcomercio_2018_48|Además, dijo que Ecuador seguirá apoyando a los cerca de 60 000 ciudadanos colombianos que residen en el país. El mandatario señaló que en el Gabinete ...|economi|4 dic. 2018|Seguridad fronteriza, comercio y cooperación energética, los ejes del ...|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_85|El presidente de Ecuador, Lenín Moreno, anunció que el edificio donde funcionó por más de tres años la sede de la Unión de Naciones Suramericanas ...|economi|6 Jul. 2018|El edificio sede de la Unasur financiado por Ecuador será una ...|2018.0
El Comercio (Ecuador)|ecuador_elcomercio_2018_88|Martínez es economista de la Universidad Católica del Ecuador, con un Executive ... y Comercio Internacional por la Universidad Miguel de Cervantes en Chile.|economi|15 May. 2018|Richard Martínez va de la Cámara de Industrias al Ministerio de ...|2018.0
El Universo|ecuador_eluniverso_2015_24|“Si Ecuador sale de la CAN y los productos manufactureros, sobre todo ecuatorianos, que el día de hoy entran al mercado colombiano y peruano sin aranceles, ...|economi|11 Feb. 2015|Posible salida de Ecuador de la CAN inquieta a empresarios|2015.0
